#FORMAT=WebAnno TSV 3.3


#Text=A hearing started today over the death of Australian cricket coach David Hookes.
1-1	0-1	A	
1-2	2-9	hearing	
1-3	10-17	started	
1-4	18-23	today	
1-5	24-28	over	
1-6	29-32	the	
1-7	33-38	death	
1-8	39-41	of	
1-9	42-52	Australian	
1-10	53-60	cricket	
1-11	61-66	coach	
1-12	67-72	David	
1-13	73-79	Hookes	
1-14	79-80	.	

#Text=Hookes died after an incident outside a hotel in Melbourne, Australia on the 19th of January.
2-1	81-87	Hookes	
2-2	88-92	died	
2-3	93-98	after	
2-4	99-101	an	
2-5	102-110	incident	
2-6	111-118	outside	
2-7	119-120	a	
2-8	121-126	hotel	
2-9	127-129	in	
2-10	130-139	Melbourne	
2-11	139-140	,	
2-12	141-150	Australia	
2-13	151-153	on	
2-14	154-157	the	
2-15	158-162	19th	
2-16	163-165	of	
2-17	166-173	January	
2-18	173-174	.	

#Text=Bouncer Zdravko Micevic, 22, is charged with manslaughter.
3-1	176-183	Bouncer	
3-2	184-191	Zdravko	
3-3	192-199	Micevic	
3-4	199-200	,	
3-5	201-203	22	
3-6	203-204	,	
3-7	205-207	is	
3-8	208-215	charged	
3-9	216-220	with	
3-10	221-233	manslaughter	
3-11	233-234	.	
