#FORMAT=WebAnno TSV 3.3


#Text=Television reporter Jim Taricani was convicted of criminal contempt Thursday for not revealing to authorities the source of a video that he had received and reported on.
1-1	0-10	Television	
1-2	11-19	reporter	
1-3	20-23	Jim	
1-4	24-32	Taricani	
1-5	33-36	was	
1-6	37-46	convicted	
1-7	47-49	of	
1-8	50-58	criminal	
1-9	59-67	contempt	
1-10	68-76	Thursday	
1-11	77-80	for	
1-12	81-84	not	
1-13	85-94	revealing	
1-14	95-97	to	
1-15	98-109	authorities	
1-16	110-113	the	
1-17	114-120	source	
1-18	121-123	of	
1-19	124-125	a	
1-20	126-131	video	
1-21	132-136	that	
1-22	137-139	he	
1-23	140-143	had	
1-24	144-152	received	
1-25	153-156	and	
1-26	157-165	reported	
1-27	166-168	on	
1-28	168-169	.	

#Text=The video had been sealed to prevent the public from seeing it.
2-1	170-173	The	
2-2	174-179	video	
2-3	180-183	had	
2-4	184-188	been	
2-5	189-195	sealed	
2-6	196-198	to	
2-7	199-206	prevent	
2-8	207-210	the	
2-9	211-217	public	
2-10	218-222	from	
2-11	223-229	seeing	
2-12	230-232	it	
2-13	232-233	.	

#Text=US District Court Judge Ernest Torres convicted Taricani, a reporter for WJAR-TV News in Providence, Rhode Island.
3-1	235-237	US	
3-2	238-246	District	
3-3	247-252	Court	
3-4	253-258	Judge	
3-5	259-265	Ernest	
3-6	266-272	Torres	
3-7	273-282	convicted	
3-8	283-291	Taricani	
3-9	291-292	,	
3-10	293-294	a	
3-11	295-303	reporter	
3-12	304-307	for	
3-13	308-315	WJAR-TV	
3-14	316-320	News	
3-15	321-323	in	
3-16	324-334	Providence	
3-17	334-335	,	
3-18	336-341	Rhode	
3-19	342-348	Island	
3-20	348-349	.	

#Text=The video in question showed the city's mayor, Vincent Cianci, taking a $1000 bribe.
4-1	350-353	The	
4-2	354-359	video	
4-3	360-362	in	
4-4	363-371	question	
4-5	372-378	showed	
4-6	379-382	the	
4-7	383-389	city's	
4-8	390-395	mayor	
4-9	395-396	,	
4-10	397-404	Vincent	
4-11	405-411	Cianci	
4-12	411-412	,	
4-13	413-419	taking	
